auc_pr,auc_roc,loss,precision,recall,val_auc_pr,val_auc_roc,val_loss,val_precision,val_recall,learning_rate
0.4273588955402374,0.7797545194625854,0.028467172756791115,0.18673276901245117,0.7547709941864014,0.3347356915473938,0.7013616561889648,0.031519681215286255,0.16610169410705566,0.5610687136650085,0.0007194663630798459
0.39628446102142334,0.756515383720398,0.029326654970645905,0.1715596318244934,0.7137404680252075,0.3715190291404724,0.741383969783783,0.030402541160583496,0.15395382046699524,0.8396946787834167,0.0006876160041429102
0.4189448654651642,0.7833796739578247,0.0285047497600317,0.18484288454055786,0.7633587718009949,0.3682713508605957,0.7338528633117676,0.030663393437862396,0.21598640084266663,0.48473283648490906,0.0006548539968207479
0.43291014432907104,0.7863802313804626,0.027794163674116135,0.18453188240528107,0.7786259651184082,0.36305075883865356,0.7431738376617432,0.02990550547838211,0.15206727385520935,0.8282442688941956,0.0006213400047272444
0.4450756013393402,0.7975424528121948,0.027118247002363205,0.18902438879013062,0.7690839767456055,0.3420928716659546,0.7112134099006653,0.03089987486600876,0.1396610140800476,0.7862595319747925,0.0005872372421436012
0.43695369362831116,0.7930874824523926,0.027425063773989677,0.1937086135149002,0.7814885377883911,0.33852288126945496,0.6908211708068848,0.03359441086649895,0.17697842419147491,0.4694656431674957,0.0005527119501493871
0.43114176392555237,0.7999378442764282,0.026669109240174294,0.18949560821056366,0.7814885377883911,0.3435410261154175,0.7281590700149536,0.03331800922751427,0.1827133446931839,0.6374045610427856,0.0005179322906769812
0.45920509099960327,0.8130868077278137,0.02604220062494278,0.2014336884021759,0.8043892979621887,0.3493718206882477,0.7199205160140991,0.03260384127497673,0.16632232069969177,0.614503800868988,0.00048306770622730255
0.4561096429824829,0.816725492477417,0.025707274675369263,0.2005041241645813,0.8349236845970154,0.3474133610725403,0.7341650724411011,0.03270323947072029,0.1653386503458023,0.6335877776145935,0.00044828804675489664
0.4659660756587982,0.8230715990066528,0.02525680512189865,0.20931917428970337,0.8272900581359863,0.35487207770347595,0.7376583814620972,0.03127840533852577,0.15984556078910828,0.7900763154029846,0.0004137627256568521
0.4935658276081085,0.8419354557991028,0.024049265310168266,0.212508887052536,0.8559160232543945,0.3457592725753784,0.7200955748558044,0.032679054886102676,0.15018868446350098,0.7595419883728027,0.00037966002128086984
0.4877082407474518,0.8399062156677246,0.024531284347176552,0.21777130663394928,0.8559160232543945,0.34849101305007935,0.7333309650421143,0.031220801174640656,0.15474452078342438,0.8091602921485901,0.00017307300004176795
0.4953116178512573,0.8439252376556396,0.02395264245569706,0.21942800283432007,0.8492366671562195,0.327117919921875,0.727315366268158,0.033132195472717285,0.16014234721660614,0.6870229244232178,0.0003133839927613735
0.49801260232925415,0.85124272108078,0.02319807931780815,0.2219763994216919,0.8616412281990051,0.35380566120147705,0.7297932505607605,0.037674807012081146,0.17446808516979218,0.6259542107582092,0.0002815336047206074
