kepid,kepoi_name,kepler_name,koi_disposition,koi_period,koi_period_err1,koi_period_err2,koi_depth,koi_depth_err1,koi_depth_err2,koi_duration,koi_duration_err1,koi_duration_err2,koi_prad,koi_prad_err1,koi_prad_err2,koi_srad,koi_srad_err1,koi_srad_err2,koi_steff,koi_steff_err1,koi_steff_err2,koi_slogg,koi_slogg_err1,koi_slogg_err2,koi_kepmag,ra,dec,catalog,target_id,label
10525049,K04252.01,Kepler-1948 b,CONFIRMED,15.5714121,0.0001077,-0.0001077,173.5,17.2,-17.2,2.294,0.222,-0.222,0.72,0.05,-0.04,0.557,0.033,-0.033,3872.0,77.0,-84.0,4.714,0.027,-0.03,13.977,287.36404,47.78521,KEPLER_CONFIRMED,10525049,1
10526549,K00746.01,Kepler-660 b,CONFIRMED,9.27358173,1.037e-05,-1.037e-05,1288.3,16.8,-16.8,3.2875,0.0309,-0.0309,2.47,0.2,-0.24,0.696,0.056,-0.068,4856.0,131.0,-146.0,4.583,0.065,-0.035,15.302,288.13824,47.724449,KEPLER_CONFIRMED,10526549,1
10526887,K04261.01,Kepler-1578 b,CONFIRMED,1.450889836,6.484e-06,-6.484e-06,135.7,10.0,-10.0,1.753,0.115,-0.115,1.21,0.38,-0.17,1.023,0.322,-0.138,6046.0,189.0,-210.0,4.423,0.087,-0.203,15.369,288.302,47.775551,KEPLER_CONFIRMED,10526887,1
10528068,K01162.01,Kepler-782 b,CONFIRMED,158.6850022,0.000466,-0.000466,898.3,10.5,-10.5,11.5372,0.0794,-0.0794,3.08,0.44,-0.49,1.034,0.149,-0.164,5751.0,103.0,-103.0,4.34,0.156,-0.104,12.783,288.86823,47.75943,KEPLER_CONFIRMED,10528068,1
10531955,K02208.01,Kepler-1141 b,CONFIRMED,2.344512589,5.694e-06,-5.694e-06,58.9,3.2,-3.2,1.4116,0.0603,-0.0603,0.97,0.14,-0.13,1.132,0.168,-0.151,5821.0,104.0,-116.0,4.328,0.126,-0.115,12.589,290.54364,47.725887,KEPLER_CONFIRMED,10531955,1
10538176,K01301.02,Kepler-284 c,CONFIRMED,37.5142128,0.0002007,-0.0002007,935.0,34.6,-34.6,5.303,0.127,-0.127,2.68,0.22,-0.18,0.882,0.072,-0.059,5291.0,84.0,-73.0,4.489,0.058,-0.065,15.824,293.14648,47.729649,KEPLER_CONFIRMED,10538176,1
10545066,K00337.01,Kepler-528 b,CONFIRMED,19.7830259,6.614e-05,-6.614e-05,373.2,10.1,-10.1,5.4898,0.0767,-0.0767,2.1,0.32,-0.28,1.099,0.164,-0.148,5747.0,115.0,-104.0,4.335,0.12,-0.108,13.936,295.68481,47.748081,KEPLER_CONFIRMED,10545066,1
10549023,K02131.01,Kepler-1112 b,CONFIRMED,14.36270451,6.904e-05,-6.904e-05,349.4,15.1,-15.1,4.564,0.119,-0.119,2.31,0.66,-0.29,1.216,0.35,-0.15,6643.0,161.0,-221.0,4.357,0.069,-0.173,14.612,296.96881,47.751492,KEPLER_CONFIRMED,10549023,1
10552611,K00338.01,Kepler-141 c,CONFIRMED,7.0106324,1.362e-05,-1.362e-05,327.3,7.2,-7.2,3.0688,0.0488,-0.0488,1.5,0.08,-0.07,0.782,0.043,-0.035,4908.0,98.0,-98.0,4.567,0.028,-0.045,13.448,297.97089,47.731682,KEPLER_CONFIRMED,10552611,1
10554999,K00534.01,Kepler-179 c,CONFIRMED,6.400157105,9.02e-06,-9.02e-06,743.2,17.4,-17.4,2.0004,0.0418,-0.0418,2.52,0.37,-0.22,0.766,0.113,-0.066,5299.0,159.0,-143.0,4.597,0.032,-0.097,14.613,298.66373,47.762039,KEPLER_CONFIRMED,10554999,1
10577994,K00475.02,Kepler-165 c,CONFIRMED,15.31296388,3.251e-05,-3.251e-05,864.9,20.9,-20.9,3.0935,0.0602,-0.0602,2.34,0.19,-0.08,0.77,0.061,-0.028,5081.0,71.0,-81.0,4.596,0.012,-0.068,14.802,280.69101,47.809738,KEPLER_CONFIRMED,10577994,1
10583066,K00747.01,Kepler-661 b,CONFIRMED,6.02930329,5.509e-06,-5.509e-06,1912.7,34.4,-34.4,1.5821,0.0311,-0.0311,2.85,0.26,-0.15,0.672,0.062,-0.036,4537.0,123.0,-123.0,4.648,0.02,-0.056,15.784,283.71088,47.86327,KEPLER_CONFIRMED,10583066,1
10583761,K02300.01,Kepler-1179 b,CONFIRMED,2.685054445,4.508e-06,-4.508e-06,252.7,11.0,-11.0,1.0473,0.0482,-0.0482,1.46,0.26,-0.18,0.829,0.15,-0.1,5266.0,158.0,-142.0,4.484,0.112,-0.182,14.077,284.09763,47.810638,KEPLER_CONFIRMED,10583761,1
10585738,K03032.01,Kepler-1415 b,CONFIRMED,0.636424848,1.522e-06,-1.522e-06,217.9,14.8,-14.8,0.947,0.0773,-0.0773,1.31,0.27,-0.09,0.885,0.186,-0.062,5343.0,186.0,-186.0,4.538,0.027,-0.153,15.744,285.15692,47.873329,KEPLER_CONFIRMED,10585738,1
10585852,K01314.01,Kepler-815 b,CONFIRMED,8.57504983,5.684e-05,-5.684e-05,160.6,5.0,-5.0,8.653,0.151,-0.151,4.26,0.25,-0.41,3.464,0.197,-0.337,4986.0,60.0,-67.0,3.462,0.011,-0.008,13.242,285.2211,47.881378,KEPLER_CONFIRMED,10585852,1
10586004,K00275.02,Kepler-129 c,CONFIRMED,82.2001239,0.0003969,-0.0003969,233.9,5.0,-5.0,10.627,0.1,-0.1,2.57,0.13,-0.18,1.704,0.083,-0.118,5758.0,77.0,-68.0,4.072,0.033,-0.027,11.696,285.31125,47.848564,KEPLER_CONFIRMED,10586004,1
10586208,K01308.01,Kepler-811 b,CONFIRMED,23.58444746,7.988e-05,-7.988e-05,429.2,11.4,-11.4,5.5545,0.085,-0.085,3.0,0.47,-0.7,1.354,0.211,-0.317,5655.0,113.0,-101.0,4.152,0.217,-0.093,13.971,285.42429,47.83461,KEPLER_CONFIRMED,10586208,1
10587105,K00339.02,Kepler-529 c,CONFIRMED,12.8344771,3.995e-05,-3.995e-05,281.0,8.6,-8.6,3.846,0.139,-0.139,2.55,0.42,-0.38,1.189,0.197,-0.178,6078.0,121.0,-133.0,4.29,0.137,-0.112,13.763,285.88837,47.880379,KEPLER_CONFIRMED,10587105,1
10591855,K02845.01,Kepler-1367 b,CONFIRMED,1.574090323,5.522e-06,-5.522e-06,224.9,15.2,-15.2,1.5796,0.0962,-0.0962,0.93,0.06,-0.02,0.65,0.038,-0.014,4313.0,86.0,-77.0,4.662,0.006,-0.042,15.571,288.41653,47.878731,KEPLER_CONFIRMED,10591855,1
10593535,K04204.01,Kepler-1568 b,CONFIRMED,20.9254083,0.0002607,-0.0002607,109.0,8.1,-8.1,6.783,0.253,-0.253,1.26,0.2,-0.2,1.21,0.194,-0.194,5821.0,105.0,-117.0,4.283,0.137,-0.112,13.966,289.18265,47.873379,KEPLER_CONFIRMED,10593535,1
10593626,K00087.01,Kepler-22 b,CONFIRMED,289.864067,0.00121,-0.00121,529.1,10.5,-10.5,7.565,0.108,-0.108,2.34,0.22,-0.23,0.886,0.08,-0.089,5516.0,82.0,-74.0,4.446,0.104,-0.064,11.664,289.2175,47.88446,KEPLER_CONFIRMED,10593626,1
10599206,K00476.01,Kepler-566 b,CONFIRMED,18.42794957,4.274e-05,-4.274e-05,706.6,22.3,-22.3,2.9264,0.0637,-0.0637,2.24,0.07,-0.13,0.779,0.026,-0.045,4768.0,85.0,-76.0,4.536,0.052,-0.017,14.958,291.5545,47.81448,KEPLER_CONFIRMED,10599206,1
10600261,K00597.02,Kepler-194 b,CONFIRMED,2.09227115,5.814e-06,-5.814e-06,207.6,7.9,-7.9,2.4062,0.0716,-0.0716,2.06,0.33,-0.45,1.439,0.229,-0.315,5565.0,83.0,-66.0,4.117,0.201,-0.093,14.915,291.97144,47.86417,KEPLER_CONFIRMED,10600261,1
10600955,K02227.01,Kepler-1151 b,CONFIRMED,65.6480892,0.0005494,-0.0005494,588.7,30.9,-30.9,5.746,0.231,-0.231,3.93,0.57,-0.69,1.246,0.179,-0.219,5565.0,75.0,-83.0,4.251,0.149,-0.108,14.872,292.2478,47.878448,KEPLER_CONFIRMED,10600955,1
10601284,K00749.03,Kepler-226 d,CONFIRMED,8.10904807,6.787e-05,-6.787e-05,217.4,16.8,-16.8,3.596,0.198,-0.198,1.3,0.09,-0.12,0.91,0.057,-0.086,5185.0,85.0,-77.0,4.44,0.098,-0.045,15.416,292.37613,47.880989,KEPLER_CONFIRMED,10601284,1
10604335,K01298.01,Kepler-283 b,CONFIRMED,11.00817635,1.701e-05,-1.701e-05,1462.5,40.0,-40.0,2.013,0.0436,-0.0436,2.15,0.1,-0.11,0.582,0.027,-0.03,4141.0,83.0,-91.0,4.684,0.022,-0.025,15.847,293.61371,47.839001,KEPLER_CONFIRMED,10604335,1
10604592,K04447.01,Kepler-1957 b,CONFIRMED,2.18660188,1.056e-05,-1.056e-05,122.3,10.3,-10.3,1.585,0.123,-0.123,0.98,0.08,-0.1,0.772,0.06,-0.08,4904.0,148.0,-148.0,4.535,0.078,-0.048,14.793,293.71136,47.887539,KEPLER_CONFIRMED,10604592,1
10615440,K04765.01,Kepler-1622 b,CONFIRMED,10.8118317,0.0001288,-0.0001288,76.8,9.8,-9.8,2.627,0.262,-0.262,1.24,0.21,-0.12,1.196,0.206,-0.12,6025.0,78.0,-90.0,4.331,0.084,-0.126,13.385,297.32889,47.815472,KEPLER_CONFIRMED,10615440,1
10616679,K00429.01,Kepler-550 b,CONFIRMED,8.600099313,5.05e-06,-5.05e-06,2791.6,15.5,-15.5,4.0077,0.0199,-0.0199,4.17,0.53,-0.49,0.805,0.103,-0.094,5246.0,158.0,-142.0,4.501,0.102,-0.085,14.486,297.70023,47.86375,KEPLER_CONFIRMED,10616679,1
10617017,K02149.01,Kepler-1121 b,CONFIRMED,13.15140223,7.976e-05,-7.976e-05,97.8,4.4,-4.4,5.439,0.133,-0.133,1.87,0.35,-0.39,1.636,0.308,-0.339,6154.0,111.0,-124.0,4.12,0.168,-0.126,12.071,297.78659,47.88612,KEPLER_CONFIRMED,10617017,1
10619192,K00203.01,Kepler-17 b,CONFIRMED,1.485710994,9.5e-08,-9.5e-08,20823.9,21.1,-21.1,2.2874,0.00174,-0.00174,14.48,0.88,-0.88,1.018,0.062,-0.062,5624.0,101.0,-112.0,4.432,0.04,-0.049,14.141,298.39526,47.81501,KEPLER_CONFIRMED,10619192,1
10653179,K03280.01,Kepler-1453 b,CONFIRMED,47.1607932,0.0004362,-0.0004362,723.2,61.7,-61.7,4.003,0.231,-0.231,2.58,0.67,-0.28,0.965,0.25,-0.107,5936.0,158.0,-193.0,4.501,0.046,-0.184,15.57,286.12555,47.947609,KEPLER_CONFIRMED,10653179,1
