kepid,tce_plnt_num,tce_rogue_flag,tce_period,tce_period_err,tce_time0bk,tce_time0bk_err,tce_impact,tce_impact_err,tce_duration,tce_duration_err,tce_depth,tce_depth_err,tce_model_snr,tce_prad,tce_prad_err,tce_eqt,tce_eqt_err,tce_insol,tce_insol_err,tce_steff,tce_steff_err,tce_slogg,tce_slogg_err,tce_sradius,tce_sradius_err
11246246,3,0,533.052000,4.950270000e-03,210.321,6.274790000e-03,9.3570000e-01,1.8410000e-02,5.6640,3.4080000e-01,2.9410000e+03,4.2910e+02,1.1790000e+01,5.0080000e+00,7.0980000e-01,1.73e+02,7.700000e+00,0.21,0.04,4983.00,176.00,4.58,0.06,0.715,0.072
11246246,4,0,664.468000,5.559990000e-03,174.301,6.984490000e-03,6.2420000e-01,1.0370000e+01,2.0600,1.9710000e+00,1.1520000e+03,3.1650e+02,6.5270000e+00,2.5290000e+00,7.6460000e+00,1.61e+02,7.150000e+00,0.16,0.03,4983.00,176.00,4.58,0.06,0.715,0.072
11246246,5,0,458.802000,-1.000000000e+00,460.696,-1.000000000e+00,1.0000000e-01,-1.0000000e+00,4.5000,-1.0000000e+00,6.2000000e+02,-1.0000e+00,-1.0000000e+00,1.7290000e+00,-1.0000000e+00,1.82e+02,-1.000000e+00,0.26,-1.00,4983.00,176.00,4.58,0.06,0.715,0.072
11247623,1,0,252.207000,6.766560000e-03,276.625,2.282200000e-02,7.8020000e-01,7.1890000e-01,12.1700,1.2820000e+00,1.7780000e+02,2.2350e+01,8.2830000e+00,2.8150000e+00,1.2650000e+00,3.88e+02,4.860000e+01,5.36,2.68,5804.00,193.00,3.96,0.28,1.919,0.587
11285767,1,0,0.714849,1.321420000e-05,132.040,3.574480000e-03,8.9990000e-01,8.7370000e-01,2.5160,9.2090000e-01,8.1920000e+01,1.3850e+01,7.3590000e+00,3.5930000e+00,3.1840000e+00,4.44e+03,9.320000e+02,92131.30,77293.09,7684.00,319.00,3.68,0.49,3.382,1.755
11285767,2,0,0.714852,1.504120000e-05,131.560,2.850920000e-03,7.0000000e-01,2.0330000e+00,1.4020,2.0330000e-01,1.0150000e+02,2.0230e+01,7.5210000e+00,3.6600000e+00,2.7350000e+00,4.44e+03,9.320000e+02,92130.72,77292.60,7684.00,319.00,3.68,0.49,3.382,1.755
11285767,3,0,0.714839,2.413390000e-05,131.802,4.156990000e-03,7.5780000e-01,2.7490000e+00,2.5180,4.4870000e-01,8.5120000e+01,2.1320e+01,7.5160000e+00,3.4000000e+00,3.6170000e+00,4.44e+03,9.320000e+02,92133.02,77294.53,7684.00,319.00,3.68,0.49,3.382,1.755
11296045,7,0,80.479800,1.451580000e-03,145.691,1.425450000e-02,8.5130000e-01,6.1890000e-01,6.5970,1.3890000e+00,2.2220000e+02,3.1320e+01,9.5080000e+00,6.8460000e+00,3.4240000e+00,8.95e+02,1.280000e+02,151.62,87.03,6760.00,202.00,3.50,0.33,4.069,1.516
11296045,8,0,35.718400,3.632370000e-04,153.892,8.915190000e-03,9.1520000e-01,3.4030000e-01,3.4740,1.1980000e+00,2.4280000e+02,3.3710e+01,9.1360000e+00,7.4780000e+00,3.7250000e+00,1.17e+03,1.680000e+02,447.87,257.08,6760.00,202.00,3.50,0.33,4.069,1.516
11296045,9,0,215.364000,8.324950000e-03,182.260,3.255000000e-02,9.8910000e-01,1.3120000e-01,3.7800,1.0570000e+00,3.9010000e+02,1.4660e+02,8.7080000e+00,1.2600000e+01,3.1350000e+01,6.44e+02,9.250000e+01,40.81,23.43,6760.00,202.00,3.50,0.33,4.069,1.516
