,target_id,tce_plnt_num,tce_rogue_flag,period,tce_period_err,epoch,tce_time0bk_err,tce_impact,tce_impact_err,tce_duration,tce_duration_err,tce_depth,tce_depth_err,tce_model_snr,tce_prad,tce_prad_err,tce_eqt,tce_eqt_err,tce_insol,tce_insol_err,tce_steff,tce_steff_err,tce_slogg,tce_slogg_err,tce_sradius,tce_sradius_err,label,catalog
577,2831251,1,0,5.81305,6.91887e-05,131.539,0.00930843,0.9853,0.008775,3.933,0.531,99.26,15.18,9.555,1.425,0.4724,1100.0,110.0,348.77,138.89,6175.0,205.0,4.41,0.2,1.041,0.327,0,TCE
578,2854839,1,0,1.0557,2.06e-05,131.557,0.00216954,0.8473,0.7865,0.7031,0.1207,31.54,8.729,5.843,0.5006,0.3146,1400.0,63.4,896.96,163.04,4955.0,176.0,4.56,0.06,0.751,0.072,0,TCE
579,2854839,2,0,107.137,0.00296405,182.876,0.0272665,0.9897,0.3295,2.973,1.8,330.7,232.3,5.397,2.391,14.97,299.0,13.6,1.89,0.34,4955.0,176.0,4.56,0.06,0.751,0.072,0,TCE
580,2854839,3,0,385.343,0.00519755,356.981,0.00987543,0.05966,172.2,4.184,1.285,490.4,97.08,7.438,1.609,4.862,195.0,8.87,0.34,0.06,4955.0,176.0,4.56,0.06,0.751,0.072,0,TCE
581,2861394,1,0,259.13,0.00896137,148.687,0.0298569,0.6993,2.919,8.046,3.044,688.5,111.2,6.331,3.12,2.583,322.0,31.8,2.54,1.0,6325.0,261.0,4.41,0.2,1.112,0.329,0,TCE
582,2865774,1,0,208.378,0.00171915,323.203,0.00667643,0.891,0.7625,3.232,1.311,193.2,26.03,7.895,2.657,1.772,392.0,7.81,5.57,0.44,5814.0,87.0,4.03,0.03,1.625,0.088,0,TCE
583,2865774,2,0,446.808,0.00734763,312.036,0.00842075,0.7862,1.539,6.05,1.192,188.5,27.79,7.638,2.459,1.685,304.0,6.06,2.01,0.16,5814.0,87.0,4.03,0.03,1.625,0.088,0,TCE
584,2984632,2,0,398.709,0.00582818,203.557,0.0399976,0.9534,0.03191,6.317,1.948,480.4,126.3,8.179,8.366,3.163,454.0,61.2,10.09,5.43,6564.0,196.0,3.67,0.3,3.073,1.112,0,TCE
585,2984990,1,0,3.79434,3.44246e-05,132.135,0.00601427,0.8831,1.22,2.292,0.7516,77.07,11.99,7.242,1.559,1.808,1380.0,308.0,866.9,771.56,5455.0,180.0,4.03,0.54,1.507,0.669,0,TCE
586,2985022,1,0,0.656126,2.3164e-05,132.149,0.00270918,0.7,2.84,0.7626,0.1643,97.9,30.64,4.628,2.544,1.949,3690.0,509.0,44019.47,24262.66,7202.0,277.0,3.91,0.31,2.368,0.845,0,TCE
587,2985022,2,0,0.656128,1.46056e-05,131.698,0.00311032,0.8988,0.7341,2.334,0.9195,115.3,23.22,6.522,2.958,1.983,3690.0,509.0,44019.3,24262.57,7202.0,277.0,3.91,0.31,2.368,0.845,0,TCE
588,2996903,2,0,440.707,0.00429857,487.453,0.00511817,0.7185,1.328,2.584,0.8291,1920.0,387.0,6.442,3.607,2.318,183.0,5.64,0.26,0.03,4797.0,85.0,4.54,0.06,0.764,0.048,0,TCE
589,2996903,3,0,322.07,0.00287248,244.861,0.00759993,0.013,583.9,3.489,1.481,1455.0,474.1,3.528,2.8,6.648,203.0,6.26,0.4,0.05,4797.0,85.0,4.54,0.06,0.764,0.048,0,TCE
