,koi_duration,koi_depth,koi_prad,koi_ror,tce_duration,tce_depth,tce_prad,koi_steff,koi_srad,koi_smass,koi_slogg,tce_steff,tce_sradius,tce_slogg,koi_fpflag_nt,koi_fpflag_ss,koi_fpflag_co,koi_fpflag_ec,koi_model_snr,koi_max_mult_ev
7493,5.5924,13857.7,32.56,0.402406,,,,5510.0,0.741,0.822,4.608,,,,0.0,1.0,0.0,0.0,343.5,325.32214
7494,3.5943,2533.7,31.58,0.328641,,,,5783.0,0.88,0.977,4.539,,,,0.0,1.0,0.0,0.0,111.3,114.71242
7495,6.4649,36133.0,16.73,0.176679,,,,5872.0,0.867,0.83,4.481,,,,0.0,1.0,0.0,0.0,310.0,1248.4381
7496,4.4389,465.3,21.3,0.226795,,,,5927.0,0.86,0.944,4.544,,,,0.0,1.0,1.0,1.0,59.5,52.450905
7497,4.11466,69923.0,35.71,0.243325,,,,6208.0,1.344,1.107,4.226,,,,0.0,1.0,0.0,0.0,731.2,5444.6987
7500,22.08,530.4,1.93,0.020742,,,,5421.0,0.852,0.969,4.564,,,,1.0,0.0,1.0,1.0,25.4,15.880621
7502,7.844,645.1,230.33,0.02144,,,,3599.0,98.38,1.688,0.679,,,,0.0,1.0,0.0,0.0,16.4,17.391762
7503,5.45573,499989.0,128.17,0.691241,,,,7426.0,1.698,1.373,4.116,,,,0.0,1.0,0.0,0.0,899.3,5719.617
7504,2.52,,,,,,,,,,,,,,1.0,0.0,0.0,0.0,,52.84276
7505,4.02594,286812.0,61.16,0.583397,,,,5372.0,0.96,0.836,4.396,,,,0.0,1.0,0.0,0.0,1550.9,16794.674
7506,2.1988,96134.0,19.36,0.300955,,,,5022.0,0.589,0.589,4.668,,,,0.0,1.0,0.0,0.0,312.3,3099.3726
7507,3.6347,29236.3,29.32,0.279646,,,,5940.0,0.96,0.904,4.429,,,,0.0,1.0,0.0,0.0,393.9,1499.5348
7511,3.10316,25015.2,28.11,0.218176,,,,6617.0,1.18,1.202,4.373,,,,0.0,1.0,0.0,0.0,584.8,794.98206
7512,4.60837,362327.0,66.06,0.629529,,,,5721.0,0.961,0.956,4.453,,,,0.0,1.0,0.0,0.0,1967.2,17093.107
7513,0.91,,,,,,,,,,,,,,1.0,0.0,0.0,0.0,,53.488964
7515,5.21924,108889.0,32.33,0.299669,,,,5516.0,0.988,0.825,4.364,,,,0.0,1.0,0.0,0.0,1797.6,7242.694
7516,2.0101,19796.0,9.96,0.144714,,,,4483.0,0.63,0.616,4.629,,,,0.0,1.0,1.0,0.0,166.0,891.057
7517,5.4958,9876.3,26.11,0.270214,,,,5388.0,0.885,0.802,4.449,,,,0.0,1.0,1.0,0.0,415.0,776.90173
7518,3.4851,3153.1,22.09,0.11196,,,,6244.0,1.807,1.152,3.986,,,,0.0,1.0,0.0,0.0,427.6,386.6577
7519,5.1339,40110.4,23.34,0.184697,,,,6435.0,1.157,1.186,4.385,,,,0.0,1.0,0.0,0.0,506.4,1638.1337
7520,5.06514,43491.0,37.51,0.223318,,,,6712.0,1.538,1.294,4.174,,,,0.0,1.0,0.0,0.0,4638.1,5860.6807
7521,8.8452,100158.0,33.81,0.358753,,,,5873.0,0.863,0.954,4.547,,,,0.0,1.0,0.0,0.0,616.3,847.60876
7522,8.8577,31778.0,25.56,0.234765,,,,6108.0,0.997,1.072,4.471,,,,0.0,1.0,0.0,1.0,154.7,361.84592
7523,1.225,184.4,1.97,0.012633,,,,6669.0,1.427,1.251,4.224,,,,1.0,0.0,0.0,0.0,6.9,
7524,7.607,1020.0,3.73,0.029258,,,,6299.0,1.167,1.249,4.401,,,,1.0,0.0,0.0,0.0,12.5,
7525,2.5,,,,,,,,,,,,,,1.0,0.0,0.0,0.0,,
7526,6.276,45966.0,44.08,0.265593,,,,6826.0,1.52,1.307,4.187,,,,0.0,1.0,0.0,0.0,34.2,385.94577
7529,16.45,105.4,1.13,0.009528,,,,6003.0,1.085,0.954,4.346,,,,1.0,0.0,0.0,0.0,6.0,
7530,23.85,1056.2,51.47,0.328199,,,,6428.0,1.436,1.049,4.144,,,,0.0,1.0,0.0,0.0,272.8,38.111343
7531,1.7543,12319.1,32.99,0.176052,,,,6384.0,1.716,1.14,4.026,,,,0.0,1.0,0.0,0.0,238.9,1992.975
7532,2.4462,29862.0,145.18,0.412115,,,,7517.0,3.226,1.98,3.717,,,,0.0,1.0,0.0,0.0,86.5,611.1291
7536,2.371,76.4,1.03,0.008179,,,,6188.0,1.155,1.038,4.33,,,,0.0,1.0,1.0,0.0,10.4,8.748803
7538,1.19,501.0,2.29,0.020762,,,,6208.0,1.009,1.072,4.462,,,,1.0,0.0,0.0,0.0,4.7,
7540,2.55435,12978.3,25.33,0.179945,,,,6399.0,1.289,1.246,4.312,,,,0.0,1.0,0.0,0.0,2126.1,2201.4736
7541,2.6002,173007.0,23.96,0.387641,,,,4601.0,0.566,0.559,4.681,,,,0.0,1.0,0.0,0.0,297.2,333.75443
7544,4.5905,74177.0,42.29,0.500312,,,,5654.0,0.774,0.865,4.59,,,,1.0,0.0,0.0,0.0,613.1,840.43097
7545,7.464,9482.0,10.85,0.10354,,,,5812.0,0.96,0.912,4.434,,,,0.0,1.0,1.0,1.0,98.1,313.64734
7546,3.94804,94124.0,29.98,0.282768,,,,5957.0,0.971,1.083,4.498,,,,0.0,1.0,0.0,0.0,1117.0,3800.485
7547,3.3465,38832.0,38.37,0.444182,,,,5761.0,0.791,0.881,4.581,,,,0.0,1.0,0.0,0.0,249.4,2110.4111
7548,4.26585,205698.0,59.2,0.50055,,,,6103.0,1.083,0.987,4.363,,,,0.0,1.0,0.0,0.0,2200.0,10478.589
7549,5.342,334.0,3.47,0.016932,,,,6731.0,1.876,1.42,4.043,,,,1.0,0.0,0.0,0.0,16.6,23.22646
7551,2.52,,,,,,,,,,,,,,1.0,0.0,0.0,0.0,,
7552,3.7294,2373.0,1192.79,0.306008,,,,4289.0,35.695,1.863,1.603,,,,0.0,1.0,1.0,0.0,122.3,405.81424
7553,2.407,1337.2,5.41,0.032713,,,,5254.0,1.514,0.937,4.05,,,,0.0,0.0,0.0,0.0,16.2,18.332762
7554,2.135,1058.4,4.81,0.029092,,,,5254.0,1.514,0.937,4.05,,,,0.0,0.0,0.0,0.0,15.3,18.156115
7555,6.8091,73081.0,21.37,0.245249,,,,5495.0,0.798,0.812,4.543,,,,0.0,1.0,0.0,0.0,350.4,1350.6888
7556,8.419,1657.8,3.23,0.038919,,,,4895.0,0.759,0.817,4.589,,,,0.0,0.0,0.0,0.0,25.9,20.487455
7560,1.2638,244.0,1.22,0.014221,,,,4821.0,0.788,0.765,4.529,,,,0.0,0.0,0.0,0.0,29.5,20.960924
7561,10.539,135.8,1.11,0.011058,,,,5815.0,0.918,0.974,4.5,,,,1.0,0.0,1.0,1.0,17.8,14.571878
7562,1.92,,,,,,,,,,,,,,1.0,0.0,0.0,0.0,,
7564,3.35989,203491.0,28.96,0.425013,,,,4947.0,0.624,0.614,4.636,,,,0.0,1.0,0.0,0.0,1284.0,9107.342
7565,7.5348,2672.9,4.13,0.046587,,,,5478.0,0.812,0.906,4.573,,,,0.0,1.0,1.0,1.0,70.1,456.50208
7566,4.89701,85995.2,45.87,0.27895,,,,6297.0,1.506,1.18,4.155,,,,0.0,1.0,0.0,0.0,7878.0,11636.365
7567,8.098,2750.0,35.54,0.326094,,,,5763.0,0.998,1.107,4.484,,,,0.0,1.0,1.0,1.0,92.8,107.227135
7568,1.6107,3026.0,23.51,0.362481,,,,5008.0,0.594,0.592,4.663,,,,0.0,1.0,0.0,0.0,35.9,28.37828
7571,2.9526,9520.1,42.27,0.392589,,,,5993.0,0.986,1.093,4.489,,,,0.0,1.0,1.0,0.0,168.0,255.40018
7576,3.981,236.2,1.94,0.014234,,,,6443.0,1.248,1.198,4.325,,,,1.0,0.0,0.0,0.0,7.8,
7577,4.013,88.5,1.07,0.009123,,,,5899.0,1.07,0.979,4.37,,,,0.0,0.0,1.0,1.0,21.0,12.690968
7578,1.56,,,,,,,,,,,,,,1.0,0.0,0.0,0.0,,
7579,7.08365,314928.0,64.15,0.608805,,,,6074.0,0.965,0.992,4.466,,,,0.0,1.0,0.0,0.0,3069.4,16876.35
7582,11.94,292.2,2.57,0.018261,,,,6115.0,1.291,1.077,4.249,,,,0.0,0.0,0.0,0.0,21.1,16.111782
7588,3.493,1917.9,2.38,0.038688,,,,3891.0,0.564,0.605,4.718,,,,0.0,0.0,0.0,0.0,22.7,16.18784
7589,3.82224,34565.1,45.92,0.353651,,,,6385.0,1.189,1.062,4.316,,,,0.0,1.0,0.0,0.0,635.5,2449.7307
7590,3.82353,80226.0,26.15,0.264897,,,,5796.0,0.904,0.885,4.472,,,,0.0,1.0,0.0,0.0,759.1,2409.2993
7591,3.3828,23268.7,39.04,0.143473,,,,9696.0,2.492,2.444,4.033,,,,0.0,1.0,0.0,0.0,511.7,571.6555
7592,3.0646,2063.6,426.98,0.30313,,,,4822.0,12.899,2.785,2.662,,,,0.0,1.0,0.0,0.0,163.9,63.973824
7593,9.363,966.7,18.39,0.258652,,,,4852.0,0.651,0.634,4.613,,,,1.0,0.0,1.0,0.0,92.1,10.047079
